,D0,D1,D2,D3,D4,month
0,99.18,94.77,84.08,56.67,20.4,July
1,99.24,93.82,75.7,51.8,21.32,July
2,97.53,86.79,66.05,45.91,16.11,July
3,96.29,86.39,64.99,43.79,15.82,June
4,92.99,81.18,64.62,43.83,17.11,June
5,91.41,79.97,64.03,42.47,16.78,June
6,88.25,78.81,64.99,40.11,15.6,June
7,85.89,78.44,66.35,44.07,17.91,May
8,87.08,79.11,66.94,46.05,22.08,May
9,90.43,81.42,69.47,55.79,28.91,May
10,89.46,79.23,68.09,52.96,24.53,May
11,91.17,80.02,67.29,50.91,23.19,May
12,93.79,82.11,70.28,50.25,19.62,April
13,96.13,87.38,72.46,53.54,15.91,April
14,97.13,87.66,74.12,49.11,14.2,April
15,95.05,84.73,71.45,40.56,9.78,April
16,95.1,88.22,70.79,42.1,7.03,March
17,95.72,88.24,71.31,40.38,6.2,March
18,96.31,91.22,70.13,41.2,8.63,March
19,96.05,89.93,68.43,36.38,6.39,March
20,93.34,80.71,56.71,24.47,0.0,March
21,92.33,79.06,52.89,22.44,0.0,February
22,88.17,77.61,55.58,24.53,0.0,February
23,88.17,78.09,55.02,23.88,0.0,February
24,92.96,83.79,69.2,31.56,0.0,February
25,96.29,86.71,67.46,31.84,0.0,January
26,96.47,86.04,64.67,25.87,0.0,January
27,96.79,82.48,62.44,21.91,0.0,January
28,92.42,79.83,54.25,16.69,0.0,January
29,86.98,67.27,36.58,10.65,0.0,December
