MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20220719,TX,0.82,99.18,94.77,84.08,56.67,20.40,2022-07-19,2022-07-25,1
20220712,TX,0.76,99.24,93.82,75.70,51.80,21.32,2022-07-12,2022-07-18,1
20220705,TX,2.47,97.53,86.79,66.05,45.91,16.11,2022-07-05,2022-07-11,1
20220628,TX,3.71,96.29,86.39,64.99,43.79,15.82,2022-06-28,2022-07-04,1
20220621,TX,7.01,92.99,81.18,64.62,43.83,17.11,2022-06-21,2022-06-27,1
20220614,TX,8.59,91.41,79.97,64.03,42.47,16.78,2022-06-14,2022-06-20,1
20220607,TX,11.75,88.25,78.81,64.99,40.11,15.60,2022-06-07,2022-06-13,1
20220531,TX,14.11,85.89,78.44,66.35,44.07,17.91,2022-05-31,2022-06-06,1
20220524,TX,12.92,87.08,79.11,66.94,46.05,22.08,2022-05-24,2022-05-30,1
20220517,TX,9.57,90.43,81.42,69.47,55.79,28.91,2022-05-17,2022-05-23,1
20220510,TX,10.54,89.46,79.23,68.09,52.96,24.53,2022-05-10,2022-05-16,1
20220503,TX,8.83,91.17,80.02,67.29,50.91,23.19,2022-05-03,2022-05-09,1
20220426,TX,6.21,93.79,82.11,70.28,50.25,19.62,2022-04-26,2022-05-02,1
20220419,TX,3.87,96.13,87.38,72.46,53.54,15.91,2022-04-19,2022-04-25,1
20220412,TX,2.87,97.13,87.66,74.12,49.11,14.20,2022-04-12,2022-04-18,1
20220405,TX,4.95,95.05,84.73,71.45,40.56,9.78,2022-04-05,2022-04-11,1
20220329,TX,4.90,95.10,88.22,70.79,42.10,7.03,2022-03-29,2022-04-04,1
20220322,TX,4.28,95.72,88.24,71.31,40.38,6.20,2022-03-22,2022-03-28,1
20220315,TX,3.69,96.31,91.22,70.13,41.20,8.63,2022-03-15,2022-03-21,1
20220308,TX,3.95,96.05,89.93,68.43,36.38,6.39,2022-03-08,2022-03-14,1
20220301,TX,6.66,93.34,80.71,56.71,24.47,0.00,2022-03-01,2022-03-07,1
20220222,TX,7.67,92.33,79.06,52.89,22.44,0.00,2022-02-22,2022-02-28,1
20220215,TX,11.83,88.17,77.61,55.58,24.53,0.00,2022-02-15,2022-02-21,1
20220208,TX,11.83,88.17,78.09,55.02,23.88,0.00,2022-02-08,2022-02-14,1
20220201,TX,7.04,92.96,83.79,69.20,31.56,0.00,2022-02-01,2022-02-07,1
20220125,TX,3.71,96.29,86.71,67.46,31.84,0.00,2022-01-25,2022-01-31,1
20220118,TX,3.53,96.47,86.04,64.67,25.87,0.00,2022-01-18,2022-01-24,1
20220111,TX,3.21,96.79,82.48,62.44,21.91,0.00,2022-01-11,2022-01-17,1
20220104,TX,7.58,92.42,79.83,54.25,16.69,0.00,2022-01-04,2022-01-10,1
20211228,TX,13.02,86.98,67.27,36.58,10.65,0.00,2021-12-28,2022-01-03,1
